site_no,station_nm,dec_lat_va,dec_long_va,huc_cd,huc2,drain_area_va
01073319,"LAMPREY RIVER AT LANGFORD ROAD, AT RAYMOND, NH",43.04138889,-71.2016667,01060003,01,55.7
01104415,"CAMBRIDGE RES., UNNAMED TRIB 2, NR LEXINGTON, MA",42.43592855,-71.2600567,01090001,01,0.41
01104455,"STONY BROOK, UNNAMED TRIBUTARY 1, NEAR WALTHAM, MA",42.37259606,-71.27033448,01090001,01,0.48
01104475,"STONY BROOK RES., UNNAMED TRIB 1, NEAR WESTON, MA",42.3545408,-71.2681121,01090001,01,0.85
01129500,"CONNECTICUT RIVER AT NORTH STRATFORD, NH",44.74977166,-71.63120018,01080101,01,799
01400500,Raritan River at Manville NJ,40.55555556,-74.58277778,02030105,02,490
01408029,Manasquan River near Allenwood NJ,40.14666667,-74.12222222,020403010105,02,63.3
01425000,WEST BRANCH DELAWARE RIVER AT STILESVILLE NY,42.07491667,-75.3958056,02040101,02,456
01426500,WEST BRANCH DELAWARE RIVER AT HALE EDDY NY,42.00302778,-75.38352778,02040101,02,595
01427207,DELAWARE RIVER AT LORDVILLE NY,41.86727778,-75.21375,020401010406,02,1590.0
01428500,DELAWARE R ABOVE LACKAWAXEN R NEAR BARRYVILLE NY,41.50875,-74.9860556,02040101,02,2020
01435000,NEVERSINK RIVER NEAR CLARYVILLE NY,41.88994444,-74.5898056,02040104,02,66.6
01463500,Delaware River at Trenton NJ,40.22166667,-74.77805556,020401050911,02,6780.0
01480617,"West Branch Brandywine Creek at Modena, PA",39.9617734,-75.8013341,02040205,02,55.0
01540500,"Susquehanna River at Danville, PA",40.95814218,-76.6191222,02050107,02,11220
01542500,"WB Susquehanna River at Karthaus, PA",41.11755906,-78.108896,02050201,02,1462
01549700,"Pine Creek bl L Pine Creek near Waterville, PA",41.27361657,-77.3241186,02050205,02,944
01608500,"SOUTH BRANCH POTOMAC RIVER NEAR SPRINGFIELD, WV",39.44703879,-78.6541817,02070001,02,1461
02110701,"CRABTREE SWAMP AT CONWAY, SC",33.86100349,-79.0411471,03040206,03,18.9
02176930,"CHATTOOGA RIVER AT BURRELLS FORD, NR PINE MTN, GA",34.97452778,-83.1161667,03060102,03,46.7
02266300,"REEDY CREEK NEAR VINELAND, FL",28.33278738,-81.579796,03090101,03,84.6
02330450,"CHATTAHOOCHEE RIVER AT HELEN, GA",34.7009722,-83.72925,03130001,03,44.7
02334430,"CHATTAHOOCHEE RIVER AT BUFORD DAM, NEAR BUFORD, GA",34.15666667,-84.0784167,03130001,03,1040.00
02334885,"SUWANEE CREEK AT SUWANEE, GA",34.0325,-84.08888889,03130001,03,47.1
02336120,"N.F. PEACHTREE CREEK, BUFORD HWY, NEAR ATLANTA, GA",33.83155556,-84.3427778,03130001,03,34.8
02336300,"PEACHTREE CREEK AT ATLANTA, GA",33.82030556,-84.40763889,03130001,03,86.8
02336728,"UTOY CREEK AT GREAT SOUTHWEST PKWY NR ATLANTA, GA",33.74352778,-84.5681667,03130002,03,33.9
02397000,"COOSA RIVER MAYOS BAR NEAR ROME, GA",34.2005,-85.25641667,03150105,03,
02455980,TURKEY CREEK AT SEWAGE PLANT NEAR PINSON AL,33.71121273,-86.6961013,03160111,03,27.4
02458450,"VILLAGE CREEK AT AVENUE W AT ENSLEY, AL",33.5176481,-86.87915889,03160111,03,33.50
02474560,"LEAF RIVER NR NEW AUGUSTA, MS",31.22166667,-89.0530556,03170005,03,2542
03007800,"Allegheny River at Port Allegany, PA",41.81867578,-78.29279129,05010001,05,248
03034000,"Mahoning Creek at Punxsutawney, PA",40.93923105,-79.00836738,05010006,05,158
03036000,"Mahoning Creek at Mahoning Creek Dam, PA",40.9275653,-79.2911508,05010006,05,344
03047000,"Loyalhanna Creek at Loyalhanna Dam, PA",40.45888889,-79.4494444,05010008,05,290
03058000,"WEST FORK R BL STONEWALL JACKSON DAM NR WESTON, WV",39.00452778,-80.4733611,05020002,05,101
03077500,"Youghiogheny River at Youghiogheny River Dam, PA",39.80535485,-79.3642019,05020006,05,436
03105500,"Beaver River at Wampum, PA",40.88867389,-80.3370083,05030104,05,2235
03106000,"Connoquenessing Creek near Zelienople, PA",40.8170092,-80.2422837,05030105,05,356
03301900,"FERN CREEK AT OLD BARDSTOWN RD AT LOUISVILLE, KY",38.1756242,-85.615237,05140102,05,3.5
03353200,"EAGLE CREEK AT ZIONSVILLE, IN",39.94642217,-86.260249,05120201,05,106
03456991,"PIGEON RIVER NEAR CANTON, NC",35.52194444,-82.8480556,06010106,06,130
03544970,"HIWASSEE RIVER AT RIVERSIDE DR, NR HIAWASSEE, GA",34.8836111,-83.7223056,06020002,06,39.5
04027000,"BAD RIVER NEAR ODANAH, WI",46.4866144,-90.696297,04010302,04,597
04043238,"SALMON TROUT RIVER NEAR BIG BAY, MI",46.78214818,-87.8776299,04020105,04,6.74
04043244,"EAST BRANCH SALMON TROUT RIVER NEAR DODGE CITY, MI",46.7857589,-87.8523522,04020105,04,10.2
04067500,"MENOMINEE RIVER NEAR MC ALLISTER, WI",45.3258333,-87.6633333,04030108,04,3930
04077630,"RED RIVER AT MORGAN ROAD NEAR MORGAN, WI",44.8980311,-88.8442729,04030202,04,114
04124200,"MANISTEE RIVER NEAR MESICK, MI",44.3630596,-85.820905,04060103,04,1018
04125460,"PINE RIVER AT HIGH SCHOOL BRIDGE NR HOXEYVILLE, MI",44.19334009,-85.7697863,04060103,04,245
04137005,"AU SABLE RIVER NEAR CURTISVILLE, MI",44.56084749,-83.802764,04070007,04,1598
04176500,"RIVER RAISIN NEAR MONROE, MI",41.9605671,-83.5309896,04100002,04,1042
04208000,Cuyahoga River at Independence OH,41.39533087,-81.6298478,04110002,04,707
05054000,"RED RIVER OF THE NORTH AT FARGO, ND",46.861111,-96.783333,090201040504,09,6800.0
05057000,"SHEYENNE RIVER NEAR COOPERSTOWN, ND",47.432778,-98.027222,090202030505,09,2810.0
05289800,"MINNEHAHA CREEK AT HIAWATHA AVE. IN MINNEAPOLIS,MN",44.91550278,-93.21293889,070102060605,07,176.0
05331833,"NAMEKAGON RIVER AT LEONARDS, WI",46.1713687,-91.3293778,07030002,07,126
05370000,"EAU GALLE RIVER AT SPRING VALLEY, WI",44.85277778,-92.2383333,07050005,07,64
05382255,"STILLWELL CREEK AT SIXTEENTH COURT NEAR TOMAH, WI",43.99388889,-90.6572222,07040006,07,4.1
05382257,"STILLWELL CREEK AT YARD ROAD NEAR TOMAH, WI",44.00055556,-90.6811111,07040006,07,5.1
05406457,"BLACK EARTH CREEK NR BREWERY RD AT CROSS PLAINS,WI",43.1097222,-89.6408333,07070005,07,11.4
05458300,"Cedar River at Waverly, IA",42.7372222,-92.4700917,07080201,07,1547
05517000,"YELLOW RIVER AT KNOX, IN",41.30279685,-86.62053829,07120001,07,435
06036805,"Firehole River at Old Faithful, YNP",44.4593333,-110.8222722,10020007,10,39.5
06036905,Firehole River near West Yellowstone MT,44.6201833,-110.8635028,10020007,10,261
06036940,"Tantalus Creek at Norris Junction, YNP",44.732725,-110.7132528,10020007,10,1.10
06041000,Madison River bl Ennis Lake nr McAllister MT,45.490231,-111.634506,100200071501,10,2212.9
06623800,"ENCAMPMENT RIVER AB HOG PARK CR, NR ENCAMPMENT, WY",41.02356508,-106.8248049,10180002,10,72.7
06894000,"Little Blue River near Lake City, MO",39.1005609,-94.3005038,10300101,10,184
06934500,"Missouri River at Hermann, MO",38.70980556,-91.4385,10300200,10,522500
07106000,"FOUNTAIN CREEK NEAR FOUNTAIN, CO.",38.6016647,-104.6702503,11020003,11,672
07178200,"Bird Ck at State Highway 266 near Catoosa, OK",36.2231514,-95.8194322,11070107,11,1123
07194880,"Osage Creek near Cave Springs, AR",36.2814592,-94.227997,11110103,11,34.7
07332622,"Bois D'Arc Ck at FM 409 nr Honey Grove, TX",33.74416667,-95.9611111,11140101,11,370
08048000,"W Fk Trinity Rv at Ft Worth, TX",32.76096337,-97.3325167,12030102,12,2615
08052700,"Little Elm Ck nr Aubrey, TX",33.28344977,-96.8927805,12030103,12,75.5
08065350,"Trinity Rv nr Crockett, TX",31.33851319,-95.6563407,12030201,12,13911
08070200,"E Fk San Jacinto Rv nr New Caney, TX",30.14523056,-95.1246139,12040103,12,388
08123850,"Colorado Rv abv Silver, TX",32.05374399,-100.762052,12080008,12,14910
09136100,"NORTH FK GUNNISON RIVER ABOVE MOUTH NR LAZEAR, CO",38.78516667,-107.8334167,14020004,14,969
09144250,"GUNNISON RIVER AT DELTA, CO",38.75303944,-108.078403,14020005,14,5636
09149500,"UNCOMPAHGRE RIVER AT DELTA, CO",38.74194444,-108.08041667,140200060606,14,1114.0
09163500,COLORADO RIVER NEAR COLORADO-UTAH STATE LINE,39.1327434,-109.02707585,140100051906,14,17849.0
09180000,"DOLORES RIVER NEAR CISCO, UT",38.79720805,-109.1951142,14030004,14,4580
09261000,"GREEN RIVER NEAR JENSEN, UT",40.40871944,-109.23523611,14040106,14,29660.0
09302000,"DUCHESNE RIVER NEAR RANDLETT, UT",40.21027778,-109.7813889,14060003,14,3790
09380000,"COLORADO RIVER AT LEES FERRY, AZ",36.86433333,-111.58787222,140700061105,14,111800.0
10129900,"SILVER CREEK NEAR SILVER CREEK JUNCTION, UT",40.73522634,-111.4760313,16020101,16,17.4
10301500,"WALKER RV NR WABUSKA, NV",39.1524611,-119.0988889,16050303,16,2600
10351600,"TRUCKEE RV BLW DERBY DAM NR WADSWORTH, NV",39.58463448,-119.4412872,16050102,16,1676
11262900,MUD SLOUGH NR GUSTINE CA,37.26241267,-120.9065536,18040001,18,
11467000,RUSSIAN R A HACIENDA BRIDGE NR GUERNEVILLE CA,38.50848204,-122.9277345,18010110,18,1338
11507500,"LINK RIVER AT KLAMATH FALLS, OR",42.22347795,-121.7941708,18010204,18,3810
12056500,"NF SKOKOMISH R BL STAIRCASE RPDS NR HOODSPORT, WA",47.51425666,-123.3298868,17110017,17,57.2
12115000,"CEDAR RIVER NEAR CEDAR FALLS, WA",47.3701073,-121.6251009,17110012,17,40.7
12117600,"CEDAR RIVER BELOW DIVERSION NEAR LANDSBURG, WA",47.3795458,-121.983448,17110012,17,134
12210700,"NOOKSACK RIVER AT NORTH CEDARVILLE, WA",48.84174,-122.2943049,17110004,17,589
12212050,"FISHTRAP CREEK AT FRONT STREET AT LYNDEN, WA",48.9386827,-122.4790353,17110004,17,37.8
12213100,"NOOKSACK RIVER AT FERNDALE, WA",48.84479237,-122.5893141,17110004,17,786
12363000,Flathead River at Columbia Falls MT,48.3618111,-114.18495,17010208,17,4473
12398600,PEND OREILLE RIVER AT INTERNATIONAL BOUNDARY,48.99881409,-117.3535794,17010216,17,25200
13018350,"FLAT CREEK BELOW CACHE CREEK, NEAR JACKSON, WY",43.4583611,-110.7970278,17040103,17,129
13154500,SNAKE RIVER AT KING HILL ID,43.0022222,-115.2025,17050101,17,35800
13317660,SNAKE RIVER AT McDUFF RAPIDS AT CHINA GARDEN ID,46.00305556,-116.9169444,17060103,17,
13342500,CLEARWATER RIVER AT SPALDING ID,46.4483333,-116.8275,17060306,17,9283
14091500,"METOLIUS RIVER NEAR GRANDVIEW, OR",44.6262275,-121.4839433,17070301,17,316
14150800,"WINBERRY CREEK NEAR LOWELL,OR",43.9142924,-122.6886762,17090001,17,43.9
14151000,"FALL CREEK BLW WINBERRY CREEK, NEAR FALL CREEK, OR",43.94429299,-122.774794,17090001,17,186
14152000,"MIDDLE FORK WILLAMETTE RIVER AT JASPER, OR",43.99818166,-122.9059126,17090001,17,1340
14153500,"COAST FORK WILLAMETTE R BLW COTTAGE GROVE DAM, OR",43.72067785,-123.0497994,17090002,17,104
14154500,"ROW RIVER ABOVE PITCHER CREEK, NEAR DORENA, OR",43.73527778,-122.8744444,17090002,17,211
14159500,"SOUTH FORK MCKENZIE RIVER NEAR RAINBOW, OR",44.13595817,-122.248391,17090004,17,208
14161500,"LOOKOUT CREEK NEAR BLUE RIVER, OR",44.2095708,-122.256733,17090004,17,24.1
14179000,"BREITENBUSH R ABV FRENCH CR NR DETROIT, OR.",44.75262179,-122.1289648,17090005,17,108
14185000,"SOUTH SANTIAM RIVER BELOW CASCADIA, OR",44.39179225,-122.4975817,17090006,17,174
14210000,"CLACKAMAS RIVER AT ESTACADA, OR",45.29984346,-122.3539746,17090011,17,671
14211499,"KELLEY CREEK AT SE 159TH DRIVE AT PORTLAND, OR",45.4767869,-122.4984239,17090012,17,4.69
14211500,"JOHNSON CREEK AT SYCAMORE, OR",45.47745556,-122.5080194,17090012,17,26.8
14320934,"LITTLE WOLF CREEK NEAR TYEE, OR",43.43122665,-123.5867573,17100303,17,9.05
255534081324000,"PUMPKIN RIVER NEAR GOODLAND, FL",25.926,-81.5443056,03090204,03,
