threshold,horizon,model,n_stations,base_rate,BrierSkill,AUROC
18 °C (salmonid rearing / 7DADM),1,ThermoRoute,71,0.3134601624647502,0.9274756462937759,0.9981674395774766
18 °C (salmonid rearing / 7DADM),1,LightGBM,71,0.3134601624647502,0.9283524823006206,0.9981943679014297
18 °C (salmonid rearing / 7DADM),1,LSTM,71,0.3134601624647502,0.9253831728471863,0.9980491545735907
18 °C (salmonid rearing / 7DADM),1,Persistence (determ.),71,0.3134601624647502,0.867103603161622,0.9667850216409779
18 °C (salmonid rearing / 7DADM),3,ThermoRoute,71,0.3134180731512269,0.8459489536751921,0.9919184435177832
18 °C (salmonid rearing / 7DADM),3,LightGBM,71,0.3134180731512269,0.8441159820979556,0.9917749339927497
18 °C (salmonid rearing / 7DADM),3,LSTM,71,0.3134180731512269,0.840136441528527,0.9913286815040521
18 °C (salmonid rearing / 7DADM),3,Persistence (determ.),71,0.3134180731512269,0.7307649143725532,0.9327185993162466
18 °C (salmonid rearing / 7DADM),7,ThermoRoute,71,0.31343911780798855,0.8062653933699366,0.9874501117361445
18 °C (salmonid rearing / 7DADM),7,LightGBM,71,0.31343911780798855,0.804024903061143,0.9870842950638987
18 °C (salmonid rearing / 7DADM),7,LSTM,71,0.31343911780798855,0.7919687376825554,0.9855414073577854
18 °C (salmonid rearing / 7DADM),7,Persistence (determ.),71,0.31343911780798855,0.6213439118883608,0.9053542223967138
20 °C (migration-corridor max),1,ThermoRoute,62,0.2893235136321514,0.9294627966093498,0.9983068408772301
20 °C (migration-corridor max),1,LightGBM,62,0.2893235136321514,0.9299959102950347,0.998330153146453
20 °C (migration-corridor max),1,LSTM,62,0.2893235136321514,0.9265451954559233,0.9981527369437061
20 °C (migration-corridor max),1,Persistence (determ.),62,0.2893235136321514,0.8711967739250192,0.9677991934810981
20 °C (migration-corridor max),3,ThermoRoute,62,0.28946983368287565,0.8465933262883957,0.9924309672051287
20 °C (migration-corridor max),3,LightGBM,62,0.28946983368287565,0.8461350375108383,0.9923310783302729
20 °C (migration-corridor max),3,LSTM,62,0.28946983368287565,0.8392353428987985,0.9915322940680362
20 °C (migration-corridor max),3,Persistence (determ.),62,0.28946983368287565,0.738439434253076,0.9345349722672907
20 °C (migration-corridor max),7,ThermoRoute,62,0.28927474028190997,0.8073645107431631,0.9881356977276377
20 °C (migration-corridor max),7,LightGBM,62,0.28927474028190997,0.8057906086294383,0.98770324661413
20 °C (migration-corridor max),7,LSTM,62,0.28927474028190997,0.7911225575332862,0.9859428525953119
20 °C (migration-corridor max),7,Persistence (determ.),62,0.28927474028190997,0.6332418151425325,0.9083354490030909
