model,horizon,RMSE,MAE,NSE,KGE,PBIAS,RMSE_region_wtd
Persistence,1,0.8424346148434481,0.5842072595541058,0.988012750922453,0.9940054770086898,0.008428357338078738,0.8435775480339802
Persistence,3,1.641825604594062,1.1790878569688774,0.9544730463448009,0.977233815124824,0.021299303570881334,1.6867830684577567
Persistence,7,2.1831236542594805,1.5906619802443074,0.9195451653261102,0.9597558884241695,0.04609517638683481,2.245512635132641
DampedPersistence,1,0.8100860384988139,0.569749094099778,0.9889156707523254,0.9919941554516676,-0.12065820281593158,0.8158757445536318
DampedPersistence,3,1.4464572172069363,1.0513824390066255,0.9646633212505928,0.9776042447155289,-0.315047740622113,1.4753948249772595
DampedPersistence,7,1.7059876294828873,1.2590995950186497,0.9508699471232969,0.9671651823516538,-0.5638711225184048,1.7632180435000264
LightGBM,1,0.6519199403947361,0.45831999296977244,0.9928214677984256,0.9945917475817323,-0.13579368184559382,0.6419028409735658
LightGBM,3,1.3473847735538933,0.9822141194781506,0.9693381882484768,0.9770253962209586,-0.4159248644796117,1.3723222710481
LightGBM,7,1.6501142338155594,1.224095961496071,0.9540353987300199,0.9655865544991629,-0.5456428265037461,1.6929168249920035
LSTM,1,0.6868358711168214,0.48870983367575094,0.9920319314727108,0.993500077551704,0.15820023911710857,0.6751453046159972
LSTM,3,1.3913383347812136,1.0190682270664662,0.9673050976118145,0.9786306451385727,0.2776947635704836,1.4176164277254437
LSTM,7,1.764006401942704,1.3182341550163523,0.9474714043525017,0.9677224112505446,0.5360953551939279,1.8065357758692286
ThermoRoute,1,0.668150283023593,0.4700687155793835,0.992459581743386,0.9925393942794908,0.06304205135634255,0.6610687440528688
ThermoRoute,3,1.334996150218488,0.9707661390560215,0.9698994404187193,0.9737369357671863,-0.02929434203552399,1.3725963718712633
ThermoRoute,7,1.64541352473437,1.2133931832280016,0.9542969060187251,0.9626223533826056,-0.22183180572284147,1.6924298640658442
