model,horizon,PICP,MPIW,CRPS,Brier,BrierSkill,AUROC,base_rate
ThermoRoute,1,0.9038065300084531,2.0229470582637985,0.24605946563684622,0.027062538344247922,0.7418229043209181,0.989186001997851,0.11897717666948436
ThermoRoute,3,0.9085745984784447,4.264237846139053,0.5045994811811673,0.0423070296286043,0.5963126596784445,0.9745253631470024,0.11895076077768385
ThermoRoute,7,0.9105954142011834,5.445341129254255,0.6326518952582333,0.051584755855737664,0.5079750004524752,0.9625934037424094,0.11900359256128487
LightGBM,1,0.9058801775147929,2.011119624877348,0.24048830872133484,0.027447503578818738,0.7333468140582142,0.9884597969596279,0.11650729078613695
LightGBM,3,0.9055103550295858,4.239714189175797,0.5034120583996582,0.04398965264170452,0.5725973568187475,0.9717028281144424,0.11649408284023668
LightGBM,7,0.9067519019442096,5.350678639365048,0.6298686807524707,0.05247106174120459,0.49044289940403263,0.9598000043284705,0.11656012256973795
LSTM,1,0.905417899408284,2.145779828055507,0.2575077565429447,0.03324313964235866,0.6828598583420566,0.9848379423508627,0.11897717666948436
LSTM,3,0.9115199704142012,4.60804988245122,0.5335973180528354,0.04580258487762704,0.5629585950274255,0.9698776555942588,0.11895076077768385
LSTM,7,0.911612426035503,5.983354486879061,0.6883936068011317,0.05444367816052086,0.4807060675597571,0.9567033908765313,0.11900359256128487
