horizon,model,alpha,REV
1,ThermoRoute,0.05,0.8765141520748383
1,ThermoRoute,0.1,0.9022397457423843
1,ThermoRoute,0.2,0.8586811722912966
1,ThermoRoute,0.5,0.6825044404973358
1,ThermoRoute,max,0.9073399402551267
1,LightGBM,0.05,0.8696685652778401
1,LightGBM,0.1,0.8944252590034534
1,LightGBM,0.2,0.850215395079923
1,LightGBM,0.5,0.6716925518648681
1,LightGBM,max,0.8984242149416165
1,LSTM,0.05,0.8453615975053971
1,LSTM,0.1,0.8728112257136004
1,LSTM,0.2,0.8241285523978685
1,LSTM,0.5,0.6176731793960922
1,LSTM,max,0.8799753754238656
1,Persistence,0.05,0.6278933797073639
1,Persistence,0.1,0.8139391940513313
1,Persistence,0.2,0.8277642095914742
1,Persistence,0.5,0.7243561278863232
1,Persistence,max,0.8434321007589214
1,Climatology,0.05,-0.3986117774046532
1,Climatology,0.1,0.32203466059006974
1,Climatology,0.2,0.4119671403197158
1,Climatology,0.5,0.24877886323268222
1,Climatology,max,0.4366926368480543
3,ThermoRoute,0.05,0.8171678709561357
3,ThermoRoute,0.1,0.847360057566036
3,ThermoRoute,0.2,0.774983344437042
3,ThermoRoute,0.5,0.48123473240062187
3,ThermoRoute,max,0.8547231138836736
3,LightGBM,0.05,0.8095437421515279
3,LightGBM,0.1,0.8406535908628835
3,LightGBM,0.2,0.7596655328798184
3,LightGBM,0.5,0.44637188208616774
3,LightGBM,max,0.8443362193362194
3,LSTM,0.05,0.7936017749527777
3,LSTM,0.1,0.8314694330345095
3,LSTM,0.2,0.7542194092827004
3,LSTM,0.5,0.4508105707306239
3,LSTM,max,0.8391224032463207
3,Persistence,0.05,0.3019668395646568
3,Persistence,0.1,0.6509609330495009
3,Persistence,0.2,0.6767988007994671
3,Persistence,0.5,0.48267821452365095
3,Persistence,max,0.7062110108412574
3,Climatology,0.05,-0.39942433963961227
3,Climatology,0.1,0.32165022636644386
3,Climatology,0.2,0.411503442149678
3,Climatology,0.5,0.24827892516100383
3,Climatology,max,0.43623442957220443
7,ThermoRoute,0.05,0.7736949416809091
7,ThermoRoute,0.1,0.8143983688645019
7,ThermoRoute,0.2,0.7182852386237514
7,ThermoRoute,0.5,0.3528301886792455
7,ThermoRoute,max,0.8227726768237313
7,LightGBM,0.05,0.7771166295393724
7,LightGBM,0.1,0.8073616696817019
7,LightGBM,0.2,0.6999716713881019
7,LightGBM,0.5,0.3362039660056657
7,LightGBM,max,0.812531854946674
7,LSTM,0.05,0.7570237773979791
7,LSTM,0.1,0.8015351863512338
7,LSTM,0.2,0.7016370699223085
7,LSTM,0.5,0.30843507214206445
7,LSTM,max,0.8103975380889922
7,Persistence,0.05,0.021933375311085242
7,Persistence,0.1,0.5109741836826482
7,Persistence,0.2,0.5474750277469478
7,Persistence,0.5,0.27602663706992253
7,Persistence,max,0.5886035717889215
7,Climatology,0.05,-0.39883361818236324
7,Climatology,0.1,0.3219843482954036
7,Climatology,0.2,0.41218091009988905
7,Climatology,0.5,0.2496115427302997
7,Climatology,max,0.43681263242861484
